transaction_id,date,product_id,product_name,product_category,quantity,ppu,amount,customer_id,region,company_name
T000001,2025-01-01,PROD-008,Executive Ballpoint Pen Box,Office Supplies,8,70000,560000,Customer-001,Yangon,Horizon Logistics Co.
T000002,2025-01-01,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000,Customer-001,Yangon,Horizon Logistics Co.
T000003,2025-01-01,PROD-004,Standing Desk Converter,Furniture,6,500000,3000000,Customer-001,Yangon,Horizon Logistics Co.
T000004,2025-01-01,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,3,25500,76500,Customer-001,Yangon,Horizon Logistics Co.
T000308,2025-01-02,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000,Customer-001,Yangon,Horizon Logistics Co.
T000614,2025-01-03,PROD-008,Executive Ballpoint Pen Box,Office Supplies,10,70000,700000,Customer-001,Yangon,Horizon Logistics Co.
T000615,2025-01-03,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,1,25500,25500,Customer-001,Yangon,Horizon Logistics Co.
T000912,2025-01-04,PROD-001,Ergonomic Mesh Chair,Furniture,6,750000,4500000,Customer-001,Yangon,Horizon Logistics Co.
T001206,2025-01-05,PROD-009,Adjustable Monitor Arm,Furniture,10,195000,1950000,Customer-001,Yangon,Horizon Logistics Co.
T001521,2025-01-06,PROD-009,Adjustable Monitor Arm,Furniture,7,195000,1365000,Customer-001,Yangon,Horizon Logistics Co.
T001854,2025-01-07,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,1,25500,25500,Customer-001,Yangon,Horizon Logistics Co.
T001855,2025-01-07,PROD-009,Adjustable Monitor Arm,Furniture,9,195000,1755000,Customer-001,Yangon,Horizon Logistics Co.
T001856,2025-01-07,PROD-001,Ergonomic Mesh Chair,Furniture,8,750000,6000000,Customer-001,Yangon,Horizon Logistics Co.
T001857,2025-01-07,PROD-010,Webcam 1080p HD,Electronics,10,180000,1800000,Customer-001,Yangon,Horizon Logistics Co.
T002730,2025-01-10,PROD-005,Noise-Cancelling Headphones,Electronics,1,900000,900000,Customer-001,Yangon,Horizon Logistics Co.
T002731,2025-01-10,PROD-001,Ergonomic Mesh Chair,Furniture,2,750000,1500000,Customer-001,Yangon,Horizon Logistics Co.
T003021,2025-01-11,PROD-005,Noise-Cancelling Headphones,Electronics,5,900000,4500000,Customer-001,Yangon,Horizon Logistics Co.
T003022,2025-01-11,PROD-008,Executive Ballpoint Pen Box,Office Supplies,9,70000,630000,Customer-001,Yangon,Horizon Logistics Co.
T003341,2025-01-12,PROD-003,27-inch 4K Monitor,Electronics,9,1200000,10800000,Customer-001,Yangon,Horizon Logistics Co.
T003342,2025-01-12,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,9,25500,229500,Customer-001,Yangon,Horizon Logistics Co.
T003637,2025-01-13,PROD-005,Noise-Cancelling Headphones,Electronics,7,900000,6300000,Customer-001,Yangon,Horizon Logistics Co.
T003916,2025-01-14,PROD-009,Adjustable Monitor Arm,Furniture,4,195000,780000,Customer-001,Yangon,Horizon Logistics Co.
T004240,2025-01-15,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,9,25500,229500,Customer-001,Yangon,Horizon Logistics Co.
